Database Column Name,Table Label,Description
gaia_plx,GaiaParallax [mas],GaiaDR2 difference in the angular position  of a star as measured at two opposite positions  within the Earth's orbit.
st_pmra,RA Proper Motion (mas/yr),Angular change in right ascension over time as  seen from the center of mass of the Solar System.
st_pmdec,Dec Proper Motion (mas/yr),Angular change in declination over time as seen  from the center of mass of the Solar System.
st_pm,Total Proper Motion  (mas/yr),Angular change in position over time as seen  from the center of mass of the Solar System.
gaia_pmra,GaiaProper Motion (RA) [mas/yr],GaiaDR2 angular change in right ascension  over time as seen from the center of mass of the Solar System.
gaia_pmdec,GaiaProper Motion (Dec) [mas/yr],GaiaDR2 angular change in declination over time  as seen from the center of mass of the Solar System.
gaia_pm,GaiaTotal Proper Motion [mas/yr],GaiaDR2 total proper motion computed from the RA and Dec.
st_radv,Radial Velocity (km/sec),Velocity of the star in the  direction of the line of sight.
st_spstr,Spectral Type,Classification of the star based  on their spectral characteristics  following the Morgan-Keenan system.
st_logg,Stellar Surface Gravity,Gravitational acceleration experienced at the stellar surface.
st_lum,Stellar Luminosity [log(solar)],"Amount of energy emitted by a star per unit  time, measured in units of solar luminosities."
st_dens,Stellar Density [g/cm**3],Amount of mass per unit of volume of the star.
st_metfe,Stellar Metallicity (dex),Measurement of the metal content  of the photosphere of the star as compared to the hydrogen content.
st_metratio,Metallicity Ratio,"Ratio for the Metallicity Value  ([Fe/H] denotes iron abundance,  [M/H] refers to a general metal content)"
st_age,Stellar Age [Gyr],The age of the host star.
st_vsini,Rotational Velocity v*sin(i) [km/s],Rotational velocity at the equator  of the star multiplied by the sine  of the inclination.
st_acts,Stellar Activity Index (S-Index),Chromospheric activity as measured by the  S-index (ratio of the emission of the H  and K Ca lines to that in nearby continuum).
st_actr,Stellar Activity Log (R'HK),"Chromospheric activity as measured by  the log(R' HK) index, with is based  on the S-index, but excludes the  photospheric component in the Ca lines."
st_actlx,"x-ray Activity (Lx)""",Stellar activity as measured by  the total luminosity in X-rays.
swasp_id,SWASP Identifier,Name of the star as given by the SuperWASP  (Wide Angle Search for Planets) project.
st_nts,Number of Time Series,Number of literature time series available  for this star in the NASA Exoplanet Archive
st_nplc,Number of Planet Transit Light Curves,Number of literature transit light curves available  for this star in the NASA Exoplanet Archive.
st_nglc,Number of General Light Curves,Number of Hipparcos light curves available  for this star in the NASA Exoplanet Archive.
st_nrvc,Number of Radial Velocity Time Series,Number of literature radial velocity curves available  for this star in the NASA Exoplanet Archive.
st_naxa,Number of Amateur Light Curves,Number of literature amateur light curves available  for this star in the NASA Exoplanet Archive.
st_nimg,Number of Images,Number of literature images available for  this star in the NASA Exoplanet Archive.
st_nspec,Number of Spectra,Number of literature of spectra available for  this star in the NASA Exoplanet Archive.
st_uj,U-band (Johnson) [mag],Brightness of the host star as measured using  the U (Johnson) band in units of magnitudes.
st_vj,V-band (Johnson) [mag],Brightness of the host star as measured using  the V (Johnson) band in units of magnitudes.
st_bj,B-band (Johnson) [mag],Brightness of the host star as measured using  the B (Johnson) band in units of magnitudes.
st_rc,R-band (Cousins) [mag],Brightness of the host star as measured using the  R (Cousins) band in units of magnitudes.
st_ic,I-band (Cousins) [mag],Brightness of the host star as measured using the  I (Cousins) band in units of magnitudes.
st_j,J-band (2MASS) [mag],Brightness of the host star as measured using the  J (2MASS) band in units of magnitudes.
st_h,H-band (2MASS) [mag],Brightness of the host star as measured using the  H (2MASS) band in units of magnitudes.
st_k,Ks-band (2MASS) [mag],Brightness of the host star as measured using the  K (2MASS) band in units of magnitudes.
st_wise1,WISE 3.4um [mag],Brightness of the host star as measured using the 3.4um (WISE) band in units of magnitudes.
st_wise2,WISE 4.6um [mag],Brightness of the host star as measured using the 4.6um (WISE) band in units of magnitudes.
st_wise3,WISE 12.um [mag],Brightness of the host star as measured using the 12.um (WISE) band in units of magnitudes.
st_wise4,WISE 22.um [mag],Brightness of the host star as measured using the 22.um (WISE) band in units of magnitudes.
st_irac1,IRAC 3.6um [mag],Brightness of the host star as measured using  the 3.6um (IRAC) band in units of magnitudes.
st_irac2,IRAC 4.5um [mag],Brightness of the host star as measured using  the 4.5um (IRAC) band in units of magnitudes.
st_irac3,IRAC 5.8um [mag],Brightness of the host star as measured using  the 5.8um (IRAC) band in units of magnitudes.
st_irac4,IRAC 8.0um [mag],Brightness of the host star as measured using  the 8.0um (IRAC) band in units of magnitudes.
st_mips1,MIPS 24um [mag],Brightness of the host star as measured using  the 24um (MIPS) band in units of magnitudes.
st_mips2,MIPS 70um [mag],Brightness of the host star as measured using  the 70um (MIPS) band in units of magnitudes.
st_mips3,MIPS 160um [mag],Brightness of the host star as measured using  the 160um (MIPS) band in units of magnitudes.
st_iras1,IRAS 12um [Jy],Brightness of the host star as measured  using the 12um (IRAS) band in units of Jy.
st_iras2,IRAS 25um [Jy],Brightness of the host star as measured  using the 25um (IRAS) band in units of Jy.
st_iras3,IRAS 60um [Jy],Brightness of the host star as measured  using the 60um (IRAS) band in units of Jy.
st_iras4,IRAS 100um [Jy],Brightness of the host star as measured  using the 100um (IRAS) band in units of Jy.
st_photn,Number of Photometry Measurements,Number of photometry measurements available  for this star in the NASA Exoplanet Archive.
st_umbj,U-B (Johnson) [mag],Color of the star as measured by the  difference between U and B (Johnson) bands.
st_bmvj,B-V (Johnson) [mag],Color of the star as measured by the  difference between B and V (Johnson) bands.
st_vjmic,V-I (Johnson-Cousins) [mag],Color of the star as measured by the difference  between V (Johnson) and I (Cousins) bands.
st_vjmrc,V-R (Johnson-Cousins) [mag],Color of the star as measured by the difference between V (Johnson) and R (Cousins) bands.
st_jmh2,J-H (2MASS) [mag],Color of the star as measured by the  difference between J and H (2MASS) bands.
st_hmk2,H-Ks (2MASS) [mag],Color of the star as measured by the  difference between H and K (2MASS) bands.
st_jmk2,J-Ks  (2MASS) [mag],Color of the star as measured by the  difference between K and K (2MASS) bands.
st_bmy,b-y (Stromgren) [mag],Color of the star as measured by the difference  between b and y (Stromgren) bands.
st_m1,m1 (Stromgren) [mag],Color of the star as measured by  the m1 (Stromgren) system.
st_c1,c1 (Stromgren) [mag],Color of the star as measured  by the c1 (Stromgren) system.
st_colorn,Number of Color Measurements,Number of color measurements available  for this star in the NASA Exoplanet Archive.
 , , 
